iter	Passed	Remaining
0	0	80
1	1	74
2	2	71
3	2	66
4	3	66
5	4	65
6	4	65
7	5	64
8	6	63
9	7	63
10	7	62
11	8	61
12	9	60
13	9	59
14	10	58
15	11	57
16	11	57
17	12	56
18	13	55
19	13	54
20	14	53
21	14	53
22	15	52
23	16	51
24	16	50
25	17	49
26	18	49
27	18	48
28	19	47
29	20	47
30	20	46
31	21	45
32	22	45
33	22	44
34	23	43
35	24	43
36	25	42
37	25	41
38	26	41
39	27	40
40	27	39
41	27	38
42	28	37
43	29	37
44	29	36
45	30	35
46	31	35
47	32	34
48	32	34
49	33	33
50	34	33
51	35	32
52	35	31
53	36	31
54	37	30
55	38	29
56	38	29
57	39	28
58	40	27
59	40	27
60	41	26
61	42	25
62	42	25
63	43	24
64	44	23
65	45	23
66	45	22
67	46	21
68	47	21
69	48	20
70	48	19
71	49	19
72	50	18
73	51	17
74	51	17
75	52	16
76	53	15
77	54	15
78	54	14
79	55	13
80	56	13
81	56	12
82	57	11
83	58	11
84	59	10
85	59	9
86	60	9
87	61	8
88	61	7
89	62	6
90	63	6
91	64	5
92	64	4
93	65	4
94	66	3
95	66	2
96	67	2
97	68	1
98	68	0
99	69	0
